Dimension,pca Time,pca Standrad Deviation,knn Accuracy,knn Standrad Deviation,isomap Time,isomap Standrad Deviation,knn Accuracy,knn Standrad Deviation,dae Time,dae Standrad Deviation,knn Accuracy,knn Standrad Deviation,vae Time,vae Standrad Deviation,knn Accuracy,knn Standrad Deviation
1,1.4219830513000489,0.02562125402155711,0.15652000000000002,0.0010590561835898988,125.37674379348755,5.47238761639993,0.16242,0.003183331588132163,290.17678542137145,82.124118185263,0.22397999999999998,0.012418598954793568,194.3335196495056,62.50937483939299,0.22334,0.00909254639801194
3,1.4762737274169921,0.05388251279921113,0.2652,0.0009338094023943044,136.34541673660277,8.044727353946032,0.26983999999999997,0.0029069571720271416,337.92083473205565,88.89057912571933,0.30762,0.00381544230725613,503.252503156662,165.8300415984489,0.31667999999999996,0.005345427952933244
5,1.4600753307342529,0.01570038493976774,0.31036,0.0008138795979750392,132.43667955398558,7.528193117135094,0.30010000000000003,0.0020851858430365458,257.30578632354735,43.925284239339,0.35368,0.0016265300489077983,295.1014580249786,65.08878969790965,0.35702,0.007622440554048289
7,1.4874664306640626,0.027378650245456364,0.35053999999999996,0.0010818502669038917,136.56202640533448,7.241606725069986,0.31286,0.003246906219772913,229.11308479309082,33.152720508807874,0.38188,0.00465935617870108,292.49429216384885,66.88855433510093,0.3777,0.008282753165463773
9,1.5176761150360107,0.04329763458646412,0.37418,0.0005192301994298732,139.23915758132935,4.638944239379593,0.31744000000000006,0.0029138290958805393,200.24773859977722,20.550921967957404,0.40926,0.002569513572643665,214.48252425193786,51.31995135697443,0.40077999999999997,0.00737031885334686
11,1.5055257320404052,0.027336966799746478,0.38038000000000005,0.0007440430095095341,159.15614104270935,11.03798289086521,0.32345999999999997,0.0029977324763894556,195.3460350036621,16.335309536798167,0.41857999999999995,0.00252063484067011,222.72309675216675,26.96836704423511,0.41628,0.0039826624260662575
13,1.5439550876617432,0.03461431150654304,0.39224,0.001005186549850321,163.23537607192992,5.888371055900959,0.3245,0.0035451375149632776,178.51533584594728,11.540522358070419,0.42682000000000003,0.0033102265783477624,204.55033373832703,17.948995038694598,0.42492,0.003421344764854893
15,1.5293416500091552,0.03427865898009814,0.39586,0.0009951884243699768,156.9518681049347,6.743479312107958,0.32474,0.004581091572976895,176.6112108707428,17.939712786062646,0.43186,0.0022285421243494444,200.18946781158448,13.859253866911727,0.43192,0.004387436609228669
17,1.6388381958007812,0.1860312501903917,0.40178,0.0017825823964125818,157.03576602935792,11.385726496119343,0.32826,0.005458058262789063,189.19761114120485,29.468929468622747,0.44487999999999994,0.003211479409867054,185.28605303764343,31.49928013791868,0.4348599999999999,0.003116793223811934
19,1.5824421882629394,0.04797453558085631,0.41654,0.0014150618361046976,156.91445660591125,10.257129837235963,0.32944,0.006404560874876594,171.6906282901764,14.140436602863918,0.44474,0.0033018782533582288,221.6555226325989,51.286297860408226,0.43904000000000004,0.005273556674579307
21,1.6052993297576905,0.0662758293355672,0.41669999999999996,0.0009695359714832597,159.52629375457764,11.403829191653374,0.32964,0.005852384129566348,170.29815716743468,10.960367304980615,0.4468,0.0039390354149207545,217.58821210861205,22.23235857754802,0.44478,0.0026917652200739903
